S.no,Cadmium,Chromium,Copper,Nickel,Lead,Zinc,Classification
282,0.372,22.4,34.4,27.2,85.7,170.0,Not Organic but fit for cultivation
283,0.402,21.3,35.6,21.8,99.0,146.0,Not Organic but fit for cultivation
284,0.12,5.46,5.02,3.22,25.4,8.19,Organic
285,0.528,16.6,18.0,7.45,46.1,55.3,Avoid Pesticide
286,0.509,89.7,14.0,43.3,50.9,129.0,Not Organic but fit for cultivation
287,0.304,61.4,6.74,18.4,51.6,60.8,Not Organic but fit for cultivation
288,0.11,22.0,9.82,6.8,20.2,45.3,Avoid Pesticide
289,0.079,13.5,3.56,4.43,48.3,12.7,Organic
290,1.33,35.6,29.4,33.3,563.0,745.0,Not fit for cultivation
291,0.667,23.8,22.9,20.6,104.0,184.0,Not Organic but fit for cultivation
292,0.196,25.0,7.76,10.8,27.2,53.5,Avoid Pesticide
293,0.131,23.3,5.88,17.7,26.6,54.1,Avoid Pesticide
294,0.223,20.6,5.59,20.9,25.1,56.4,Not Organic but fit for cultivation
295,0.347,34.0,21.9,24.8,44.4,143.0,Not Organic but fit for cultivation
